REF_AREA_LABEL,short_indicator,year,value,indicator_label
Thailand,atm_per_100k_adults,2020,108.4731394945126,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2021,104.8244373204996,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2022,99.73388034242136,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2023,97.87498492184191,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2024,93.03021839637174,"ATMs per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2017,11.53287242643884,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2018,11.36059015828448,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2019,10.90403789860223,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2020,10.26821776973444,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2021,9.35415100467224,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2022,8.69537409395026,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2023,8.347189470754682,"Bank branches per 100,000 adults"
Thailand,bank_branches_per_100k_adults,2024,8.01998751107904,"Bank branches per 100,000 adults"
Thailand,credit_cards_per_1000_adults,2017,349.7199742414382,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2018,377.393727793715,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2019,402.0931497040629,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2020,409.6595473912133,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2021,398.8631511217564,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2022,428.1751879684375,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2023,435.1765675305696,"Credit cards per 1,000 adults"
Thailand,credit_cards_per_1000_adults,2024,424.4597703677894,"Credit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2017,1007.367217266124,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2018,1046.948806937304,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2019,1085.260361215188,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2020,1066.482239463164,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2021,1073.598774669131,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2022,1010.726283799867,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2023,933.2042853242152,"Debit cards per 1,000 adults"
Thailand,debit_cards_per_1000_adults,2024,885.6739977863525,"Debit cards per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2017,1562.598966121507,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2018,1630.749226113562,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2019,1648.538078146901,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2020,1719.581199907265,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2021,1830.538594465468,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2022,1944.851728623886,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2023,2052.486017061511,"Deposit accounts per 1,000 adults"
Thailand,deposit_accounts_per_1000_adults,2024,2183.832795241273,"Deposit accounts per 1,000 adults"
